%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663860788492000896,0.0,0.0,0.0,0.0,0.0,0.0
1663860788567659296,0.0,0.0,0.0,0.0,0.0,0.0
1663860788643095037,0.0,0.0,0.0,0.0,0.0,0.0
1663860788717604664,0.0,0.0,0.0,0.0,0.0,0.0
1663860788793309090,0.0,0.0,0.0,0.0,0.0,0.0
1663860788869138464,0.0,0.0,0.0,0.0,0.0,0.0
1663860788944198801,0.0,0.0,0.0,0.0,0.0,0.0
1663860789019465313,0.0,0.0,0.0,0.0,0.0,0.0
1663860789095073984,0.0,0.0,0.0,0.0,0.0,0.0
1663860789170695856,0.0,0.0,0.0,0.0,0.0,0.0
1663860789245535211,0.0,0.0,0.0,0.0,0.0,0.0
1663860789321430866,0.0,0.0,0.0,0.0,0.0,0.0
1663860789397185718,0.0,0.0,0.0,0.0,0.0,0.0
1663860789473283148,0.0,0.0,0.0,0.0,0.0,0.0
1663860789548618525,0.0,0.0,0.0,0.0,0.0,0.0
1663860789623720907,0.0,0.0,0.0,0.0,0.0,0.0
1663860789698719503,0.0,0.0,0.0,0.0,0.0,0.0
1663860789773650142,0.0,0.0,0.0,0.0,0.0,0.0
1663860789849381806,0.0,0.0,0.0,0.0,0.0,0.0
1663860789924788143,0.0,0.0,0.0,0.0,0.0,0.0
1663860790000184703,0.0,0.0,0.0,0.0,0.0,0.0
1663860790074657243,0.0,0.0,0.0,0.0,0.0,0.0
1663860790151287434,0.0,0.0,0.0,0.0,0.0,0.0
1663860790226387930,0.0,0.0,0.0,0.0,0.0,0.0
1663860790300978644,0.0,0.0,0.0,0.0,0.0,0.0
1663860790375957614,0.0,0.0,0.0,0.0,0.0,0.0
1663860790451199332,0.0,0.0,0.0,0.0,0.0,0.0
1663860790527696123,0.0,0.0,0.0,0.0,0.0,0.0
1663860790602808143,0.0,0.0,0.0,0.0,0.0,0.0
1663860790677342355,0.0,0.0,0.0,0.0,0.0,0.0
1663860790752820421,0.0,0.0,0.0,0.0,0.0,0.0
1663860790827946968,0.0,0.0,0.0,0.0,0.0,0.0
1663860790902677159,0.0,0.0,0.0,0.0,0.0,0.0
1663860790978147332,0.0,0.0,0.0,0.0,0.0,0.0
1663860791054294770,0.0,0.0,0.0,0.0,0.0,0.0
1663860791129805103,0.0,0.0,0.0,0.0,0.0,0.0
1663860791205039068,0.0,0.0,0.0,0.0,0.0,0.0
1663860791280206474,0.0,0.0,0.0,0.0,0.0,0.0
1663860791359892770,0.0,0.0,0.0,0.0,0.0,0.0
1663860791450890925,-0.00749148335308,0.0,0.0,0.0,0.0,0.0
1663860791539103893,-0.0536889657378,0.0,0.0,0.0,0.0,-0.00918073952198
1663860791626899622,-0.129341602325,0.0,0.0,0.0,0.0,-0.0179441720247
1663860791714460679,-0.201333612204,0.0,0.0,0.0,0.0,-0.0269162598997
1663860791803059039,-0.262343794107,0.0,0.0,0.0,0.0,-0.0448604300618
1663860791890722137,-0.32587954402,0.0,0.0,0.0,0.0,0.00918073952198
1663860791978691354,-0.316032767296,0.0,0.0,0.0,0.0,0.0448604300618
1663860792067001404,-0.32091358304,0.0,0.0,0.0,0.0,0.0269162598997
1663860792143607429,-0.35462975502,0.0,0.0,0.0,0.0,0.0103887319565
1663860792218142060,-0.247251808643,0.0,0.0,0.0,0.0,-0.0311661940068
1663860792292661814,-0.179471954703,0.0,0.0,0.0,0.0,0.0103909187019
1663860792368713288,-0.127158075571,0.0,0.0,0.0,0.0,-0.020777463913
1663860792444012836,-0.0649919062853,0.0,0.0,0.0,0.0,0.0
1663860792520474426,-0.0141402101144,0.0,0.0,0.0,0.0,0.0
1663860792594663266,0.00423916010186,0.0,0.0,0.0,0.0,-0.010390099138
1663860792671338924,0.00141286745202,0.0,0.0,0.0,0.0,-0.0103887319565
1663860792747056550,0.0,0.0,0.0,0.0,0.0,0.0
1663860792821936134,0.0,0.0,0.0,0.0,0.0,0.0
1663860792897408123,0.0,0.0,0.0,0.0,0.0,0.0
1663860792976724602,0.0,0.0,0.0,0.0,0.0,0.0
1663860793067147882,0.0109820831567,0.0,0.0,0.0,0.0,0.00897228997201
1663860793155056127,0.0597899854183,0.0,0.0,0.0,0.0,0.00897208601236
1663860793243812890,0.126901194453,0.0,0.0,0.0,0.0,0.0179441720247
1663860793331720507,0.189131587744,0.0,0.0,0.0,0.0,0.0269162598997
1663860793419871804,0.262337833643,0.0,0.0,0.0,0.0,-0.00897188205272
1663860793494379965,0.341922938824,0.0,0.0,0.0,0.0,0.020778009668
1663860793569480950,0.247245311737,0.0,0.0,0.0,0.0,0.0103884581476
1663860793644732725,0.186503410339,0.0,0.0,0.0,0.0,0.041556019336
1663860793719969345,0.125741899014,0.0,0.0,0.0,0.0,0.0519422926009
1663860793809208791,0.0634520351887,0.0,0.0,0.0,0.0,0.0
1663860793896333960,0.00976140797138,0.0,0.0,0.0,0.0,0.0179437641054
1663860793985030659,-0.0427081026137,0.0,0.0,0.0,0.0,-0.00897228997201
1663860794073041573,-0.0951758921146,0.0,0.0,0.0,0.0,-0.0897208601236
1663860794147538628,-0.169544100761,0.0,0.0,0.0,0.0,-0.0623323880136
1663860794223269175,-0.113062128425,0.0,0.0,0.0,0.0,-0.0623504370451
1663860794298661823,-0.0494321510196,0.0,0.0,0.0,0.0,-0.0311547163874
1663860794374804861,-0.00141283031553,0.0,0.0,0.0,0.0,-0.0103884581476
1663860794449553560,0.00282580940984,0.0,0.0,0.0,0.0,0.0
1663860794525762250,0.0,0.0,0.0,0.0,0.0,0.0
1663860794600854155,0.0,0.0,0.0,0.0,0.0,0.0
1663860794688919686,0.0,0.0,0.0,0.0,0.0,0.0
1663860794776743212,0.00122037017718,0.0,0.0,0.0,0.0,-0.188439503312
1663860794864788279,-0.00610087998211,0.0,0.0,0.0,0.0,-0.529341042042
1663860794953024714,-0.0158626493067,0.0,0.0,0.0,0.0,-0.744683146477
1663860795040913264,-0.00976185221225,0.0,0.0,0.0,0.0,-0.807506144047
1663860795120266829,-0.00366052798927,0.0,0.0,0.0,0.0,-0.906160116196
1663860795198494252,0.00141290470492,0.0,0.0,0.0,0.0,-0.571395277977
1663860795274699240,0.0,0.0,0.0,0.0,0.0,-0.103884585202
1663860795350243656,-0.00282580940984,0.0,0.0,0.0,0.0,0.0623340308666
1663860795424636087,-0.00141297909431,0.0,0.0,0.0,0.0,0.0103895515203
